Movie URL,Count in File1,Count in File2,Count in File3_pred,Count in File3_label,Total Count
<http://dbpedia.org/resource/42_(film)>,6,0,0,0,6
<http://dbpedia.org/resource/47_Meters_Down>,6,0,0,0,6
<http://dbpedia.org/resource/47_Ronin_(2013_film)>,3,0,0,0,3
<http://dbpedia.org/resource/48_Hours_of_Hallucinatory_Sex>,1,0,0,0,1
<http://dbpedia.org/resource/48_Hrs.>,10,1,0,4,15
<http://dbpedia.org/resource/50/50_(2011_film)>,1,0,0,0,1
<http://dbpedia.org/resource/500_Days_of_Summer>,18,0,0,1,19
<http://dbpedia.org/resource/50_First_Dates>,225,18,68,14,325
<http://dbpedia.org/resource/54_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/61*>,1,0,0,0,1
<http://dbpedia.org/resource/68_Kill>,1,0,0,0,1
<http://dbpedia.org/resource/79_A.D.>,3,0,0,0,3
<http://dbpedia.org/resource/88_Minutes>,1,0,0,0,1
<http://dbpedia.org/resource/8_Heads_in_a_Duffel_Bag>,17,0,0,0,17
<http://dbpedia.org/resource/8_Mile_(film)>,3,1,0,0,4
<http://dbpedia.org/resource/8mm_(film)>,2,0,0,1,3
<http://dbpedia.org/resource/9-Man_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/916_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/9_to_5_(film)>,6,3,0,0,9
<http://dbpedia.org/resource/A.I._Artificial_Intelligence>,9,8,0,0,17
<http://dbpedia.org/resource/A_(1998_Japanese_film)>,2,0,0,0,2
<http://dbpedia.org/resource/A_Bad_Moms_Christmas>,137,2,14,11,164
<http://dbpedia.org/resource/A_Beautiful_Mind_(film)>,32,11,2,2,47
<http://dbpedia.org/resource/A_Better_Tomorrow>,1,0,0,1,2
<http://dbpedia.org/resource/A_Boyfriend_for_Christmas>,1,0,0,0,1
<http://dbpedia.org/resource/A_Bridge_Too_Far_(film)>,2,0,0,0,2
<http://dbpedia.org/resource/A_Bronx_Tale>,10,0,1,1,12
<http://dbpedia.org/resource/A_Bug's_Life>,13,3,0,1,17
<http://dbpedia.org/resource/A_Chorus_Line_(film)>,1,1,0,0,2
<http://dbpedia.org/resource/A_Christmas_Carol_(2009_film)>,1,0,0,1,2
<http://dbpedia.org/resource/A_Christmas_Horror_Story>,0,0,0,1,1
<http://dbpedia.org/resource/A_Christmas_Story>,13,0,4,1,18
<http://dbpedia.org/resource/A_Christmas_Wedding>,1,0,0,0,1
<http://dbpedia.org/resource/A_Cinderella_Story:_Once_Upon_a_Song>,0,0,0,1,1
<http://dbpedia.org/resource/A_Cinderella_Story_(film_series)>,4,0,0,0,4
<http://dbpedia.org/resource/A_Civil_Action_(film)>,1,2,0,0,3
<http://dbpedia.org/resource/A_Clockwork_Orange_(film)>,12,1,0,0,13
<http://dbpedia.org/resource/A_Cure_for_Wellness_(soundtrack)>,16,0,0,0,16
<http://dbpedia.org/resource/A_Dangerous_Man>,1,0,0,0,1
<http://dbpedia.org/resource/A_Day_in_the_Death_of_Donny_B>,1,0,0,0,1
<http://dbpedia.org/resource/A_Dog's_Purpose_(film)>,13,0,0,0,13
<http://dbpedia.org/resource/A_Fantastic_Woman>,1,0,0,0,1
<http://dbpedia.org/resource/A_Far_Off_Place>,1,1,0,0,2
<http://dbpedia.org/resource/A_Few_Good_Men>,6,0,1,1,8
<http://dbpedia.org/resource/A_Fish_Called_Wanda>,13,3,0,1,17
<http://dbpedia.org/resource/A_Fistful_of_Dollars>,12,0,0,0,12
<http://dbpedia.org/resource/A_Game_of_Thrones_(comics)>,3,0,0,0,3
<http://dbpedia.org/resource/A_Ghost_Story>,4,0,0,0,4
<http://dbpedia.org/resource/A_Girl_Like_Her>,1,0,0,0,1
<http://dbpedia.org/resource/A_Girl_at_My_Door>,1,0,0,0,1
<http://dbpedia.org/resource/A_Good_Day_to_Die_Hard>,8,1,0,0,9
<http://dbpedia.org/resource/A_Good_Year>,1,0,0,0,1
<http://dbpedia.org/resource/A_Goofy_Movie>,3,2,0,1,6
<http://dbpedia.org/resource/A_Guide_to_Recognizing_Your_Saints>,1,0,0,0,1
<http://dbpedia.org/resource/A_Haunted_House>,2,0,0,1,3
<http://dbpedia.org/resource/A_Haunted_House_2>,1,0,0,0,1
<http://dbpedia.org/resource/A_History_of_Violence>,2,1,0,0,3
<http://dbpedia.org/resource/A_Home_at_the_End_of_the_World_(film)>,0,1,0,1,2
<http://dbpedia.org/resource/A_Home_of_Our_Own>,2,0,0,0,2
<http://dbpedia.org/resource/A_Kid_for_Two_Farthings_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/A_Kid_in_King_Arthur's_Court>,1,0,0,0,1
<http://dbpedia.org/resource/A_Kind_of_Murder>,1,0,0,0,1
<http://dbpedia.org/resource/A_Knight's_Tale>,6,0,0,2,8
<http://dbpedia.org/resource/A_Knight_in_Camelot>,1,0,0,0,1
<http://dbpedia.org/resource/A_League_of_Their_Own>,8,0,0,4,12
<http://dbpedia.org/resource/A_Letter_to_Momo>,1,0,0,0,1
<http://dbpedia.org/resource/A_Little_Princess_(1995_film)>,4,0,0,0,4
<http://dbpedia.org/resource/A_Lot_like_Love>,2,1,0,0,3
<http://dbpedia.org/resource/A_Low_Down_Dirty_Shame>,0,1,0,0,1
<http://dbpedia.org/resource/A_Madea_Christmas_(film)>,3,0,0,0,3
<http://dbpedia.org/resource/A_Man_Apart>,2,0,0,0,2
<http://dbpedia.org/resource/A_Marvel_Comics_Super_Special:_Blade_Runner>,1,0,0,0,1
<http://dbpedia.org/resource/A_Midsummer_Night's_Dream_(1999_film)>,3,0,0,0,3
<http://dbpedia.org/resource/A_Mighty_Wind>,3,0,0,0,3
<http://dbpedia.org/resource/A_Monster_Calls_(film)>,7,0,0,0,7
<http://dbpedia.org/resource/A_Night_at_the_Opera_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/A_Night_at_the_Roxbury>,12,0,0,2,14
<http://dbpedia.org/resource/A_Night_in_Casablanca>,1,0,0,0,1
<http://dbpedia.org/resource/A_Night_to_Remember_(1958_film)>,1,0,0,0,1
<http://dbpedia.org/resource/A_Nightmare_on_Elm_Street>,103,32,9,9,153
<http://dbpedia.org/resource/A_Nightmare_on_Elm_Street_(2010_film)>,20,1,0,1,22
<http://dbpedia.org/resource/A_Nightmare_on_Elm_Street_2:_Freddy's_Revenge>,0,2,0,0,2
<http://dbpedia.org/resource/A_Nightmare_on_Elm_Street_3:_Dream_Warriors>,0,1,0,0,1
<http://dbpedia.org/resource/A_Nightmare_on_Elm_Street_4:_The_Dream_Master>,0,1,0,0,1
<http://dbpedia.org/resource/A_Nightmare_on_Elm_Street_5:_The_Dream_Child>,0,1,0,0,1
<http://dbpedia.org/resource/A_Patch_of_Blue>,1,0,0,0,1
<http://dbpedia.org/resource/A_Perfect_Getaway>,1,2,0,0,3
<http://dbpedia.org/resource/A_Perfect_Murder>,7,0,0,0,7
<http://dbpedia.org/resource/A_Perfect_World>,3,0,0,0,3
<http://dbpedia.org/resource/A_Place_at_the_Table>,1,0,0,0,1
<http://dbpedia.org/resource/A_Quiet_Place>,44,38,0,3,85
<http://dbpedia.org/resource/A_Quiet_Place_to_Kill>,1,0,0,0,1
<http://dbpedia.org/resource/A_Raisin_in_the_Sun_(2008_film)>,1,0,0,0,1
<http://dbpedia.org/resource/A_River_Runs_Through_It_(film)>,4,2,0,0,6
<http://dbpedia.org/resource/A_Room_with_a_View_(1985_film)>,1,0,0,0,1
<http://dbpedia.org/resource/A_Room_with_a_View_(2007_film)>,2,0,0,0,2
<http://dbpedia.org/resource/A_Scanner_Darkly_(film)>,6,0,0,0,6
<http://dbpedia.org/resource/A_Serbian_Film>,1,0,0,0,1
<http://dbpedia.org/resource/A_Serious_Man>,1,0,0,0,1
<http://dbpedia.org/resource/A_Shot_in_the_Dark_(1964_film)>,3,0,0,0,3
<http://dbpedia.org/resource/A_Silent_Voice_(film)>,1,1,0,0,2
<http://dbpedia.org/resource/A_Simple_Plan_(film)>,2,0,0,0,2
<http://dbpedia.org/resource/A_Star_Is_Born_(1954_film)>,1,1,0,0,2
<http://dbpedia.org/resource/A_Tale_of_Two_Sisters>,1,3,0,0,4
<http://dbpedia.org/resource/A_Taste_of_Honey_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/A_Time_to_Kill_(1996_film)>,7,0,0,1,8
<http://dbpedia.org/resource/A_Trip_to_the_Moon>,1,0,0,0,1
<http://dbpedia.org/resource/A_United_Kingdom>,1,0,0,0,1
<http://dbpedia.org/resource/A_Very_Harold_&_Kumar_3D_Christmas>,1,0,0,0,1
<http://dbpedia.org/resource/A_Very_Long_Engagement>,0,1,0,0,1
<http://dbpedia.org/resource/A_Walk_Among_the_Tombstones_(film)>,2,0,0,0,2
<http://dbpedia.org/resource/A_Walk_in_the_Clouds>,4,1,0,0,5
<http://dbpedia.org/resource/A_Walk_to_Remember>,86,5,7,4,102
<http://dbpedia.org/resource/A_Woman_Scorned_(1911_film)>,2,0,0,0,2
<http://dbpedia.org/resource/A_Wrinkle_in_Time_(2018_film)>,157,7,9,5,178
<http://dbpedia.org/resource/Abbott_and_Costello_Go_to_Mars>,1,0,0,0,1
<http://dbpedia.org/resource/Abbott_and_Costello_Meet_Frankenstein>,3,0,0,0,3
<http://dbpedia.org/resource/Abduction_(2011_film)>,7,0,0,1,8
<http://dbpedia.org/resource/About_Last_Night_(1986_film)>,3,0,0,0,3
<http://dbpedia.org/resource/About_Time_(2013_film)>,15,1,0,0,16
<http://dbpedia.org/resource/About_a_Boy_(film)>,11,0,2,0,13
<http://dbpedia.org/resource/Above_Suspicion_(1995_film)>,1,0,0,0,1
<http://dbpedia.org/resource/Above_the_Law_(1988_film)>,2,0,0,0,2
<http://dbpedia.org/resource/Abraham_Lincoln:_Vampire_Hunter>,2,0,0,0,2
<http://dbpedia.org/resource/Absentia_(film)>,5,0,0,0,5
<http://dbpedia.org/resource/Absolute_Beginners_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/Absolute_Power_(film)>,0,0,0,1,1
<http://dbpedia.org/resource/Absolutely_Anything>,13,0,0,1,14
<http://dbpedia.org/resource/Accepted>,1,0,0,0,1
<http://dbpedia.org/resource/According_to_Greta>,1,0,0,0,1
<http://dbpedia.org/resource/Ace_Ventura:_Pet_Detective>,43,13,2,4,62
<http://dbpedia.org/resource/Ace_Ventura:_When_Nature_Calls>,10,2,1,2,15
<http://dbpedia.org/resource/Ace_Ventura>,23,3,0,2,28
<http://dbpedia.org/resource/Ace_in_the_Hole_(1951_film)>,1,0,0,0,1
<http://dbpedia.org/resource/Acrimony_(film)>,6,0,0,0,6
<http://dbpedia.org/resource/Across_the_Universe_(film)>,4,0,0,2,6
<http://dbpedia.org/resource/Act_of_Valor>,5,0,0,0,5
<http://dbpedia.org/resource/Acts_of_Worship_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/Addicted_(2002_film)>,1,0,0,0,1
<http://dbpedia.org/resource/Addicted_to_Love_(film)>,2,0,0,0,2
<http://dbpedia.org/resource/Adrift_(2009_Brazilian_film)>,0,1,0,0,1
<http://dbpedia.org/resource/Adventureland_(film)>,5,0,0,0,5
<http://dbpedia.org/resource/Adventures_in_Babysitting>,6,2,0,0,8
<http://dbpedia.org/resource/Adventures_of_Captain_Marvel>,1,0,0,0,1
<http://dbpedia.org/resource/Adventures_of_Mowgli>,0,1,0,0,1
<http://dbpedia.org/resource/African_Cats>,0,0,0,1,1
<http://dbpedia.org/resource/After_Earth>,5,1,0,0,6
<http://dbpedia.org/resource/After_the_Sunset>,1,0,0,0,1
<http://dbpedia.org/resource/After_the_Wedding_(2006_film)>,2,0,0,0,2
<http://dbpedia.org/resource/Against_All_Odds_(1984_film)>,0,1,0,0,1
<http://dbpedia.org/resource/Agent_Cody_Banks>,2,0,1,0,3
<http://dbpedia.org/resource/Aileen_Wuornos:_The_Selling_of_a_Serial_Killer>,1,0,0,0,1
<http://dbpedia.org/resource/Air_America_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/Air_Bud:_World_Pup>,1,0,0,0,1
<http://dbpedia.org/resource/Air_Bud>,24,1,0,0,25
<http://dbpedia.org/resource/Air_Force_One_(film)>,12,0,0,0,12
<http://dbpedia.org/resource/Airhawk>,0,1,0,0,1
<http://dbpedia.org/resource/Airheads>,0,0,0,1,1
<http://dbpedia.org/resource/Airplane!>,157,7,86,7,257
<http://dbpedia.org/resource/Airplane_II:_The_Sequel>,26,0,0,1,27
<http://dbpedia.org/resource/Akeelah_and_the_Bee>,1,0,0,0,1
<http://dbpedia.org/resource/Akira_(1988_film)>,7,0,4,1,12
<http://dbpedia.org/resource/Al_Capone_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/Aladdin_(1992_Disney_film)>,58,5,3,4,70
<http://dbpedia.org/resource/Aladdin_(performer)>,2,0,0,0,2
<http://dbpedia.org/resource/Aladdin_and_the_King_of_Thieves>,2,0,0,0,2
<http://dbpedia.org/resource/Aladin_(film)>,9,0,0,0,9
<http://dbpedia.org/resource/Alaska_(1996_film)>,1,0,0,0,1
<http://dbpedia.org/resource/Alex_&_Emma>,2,0,0,0,2
<http://dbpedia.org/resource/Alexander_(2004_film)>,8,0,0,0,8
"<http://dbpedia.org/resource/Alexander_and_the_Terrible,_Horrible,_No_Good,_Very_Bad_Day_(film)>",1,0,0,0,1
<http://dbpedia.org/resource/Ali_(film)>,2,1,0,2,5
<http://dbpedia.org/resource/Ali_G_Indahouse>,1,0,0,0,1
<http://dbpedia.org/resource/Alice_Through_the_Looking_Glass_(2016_film)>,6,1,0,0,7
<http://dbpedia.org/resource/Alice_in_Wonderland_(1976_film)>,3,0,0,0,3
<http://dbpedia.org/resource/Alice_in_Wonderland_(2005_film)>,14,0,0,0,14
<http://dbpedia.org/resource/Alice_in_Wonderland_(2010_film)>,10,1,1,1,13
<http://dbpedia.org/resource/Alice_in_Wonderland_(opera)>,0,1,0,0,1
<http://dbpedia.org/resource/Alice_in_Wondertown>,1,0,0,0,1
<http://dbpedia.org/resource/Alien:_Covenant>,56,0,2,3,61
<http://dbpedia.org/resource/Alien_(film)>,101,5,2,6,114
<http://dbpedia.org/resource/Alien_2:_On_Earth>,1,0,0,0,1
<http://dbpedia.org/resource/Alien_3>,5,0,0,0,5
<http://dbpedia.org/resource/Alien_51>,2,0,0,0,2
<http://dbpedia.org/resource/Alien_Dead>,1,0,0,0,1
<http://dbpedia.org/resource/Alien_Nation_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/Alien_vs._Predator_(film)>,13,3,0,0,16
<http://dbpedia.org/resource/Aliens_(film)>,56,6,2,3,67
<http://dbpedia.org/resource/Aliens_in_the_Attic>,1,0,0,0,1
<http://dbpedia.org/resource/Aliens_vs._Predator:_Requiem>,6,0,0,0,6
<http://dbpedia.org/resource/Alila_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/Alive_(1993_film)>,2,0,0,0,2
<http://dbpedia.org/resource/All's_Faire_in_Love>,1,0,0,1,2
<http://dbpedia.org/resource/All_About_Anna>,1,0,0,0,1
<http://dbpedia.org/resource/All_About_Eve>,3,1,0,0,4
<http://dbpedia.org/resource/All_About_Steve>,1,0,0,0,1
<http://dbpedia.org/resource/All_Dogs_Go_to_Heaven>,4,0,0,0,4
<http://dbpedia.org/resource/All_Dogs_Go_to_Heaven_2>,5,0,0,0,5
<http://dbpedia.org/resource/All_Eyez_on_Me_(film)>,4,0,0,0,4
<http://dbpedia.org/resource/All_Good_Things_(film)>,2,0,0,0,2
<http://dbpedia.org/resource/All_Quiet_on_the_Western_Front_(1930_film)>,1,0,0,0,1
<http://dbpedia.org/resource/All_the_Money_in_the_World>,0,0,0,1,1
<http://dbpedia.org/resource/All_the_President's_Men_(film)>,0,1,0,0,1
<http://dbpedia.org/resource/All_the_Right_Moves_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/All_the_Way_(play)>,2,0,0,0,2
<http://dbpedia.org/resource/Allied_(film)>,14,5,0,1,20
<http://dbpedia.org/resource/Almost_Christmas_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/Almost_Famous>,8,0,0,0,8
<http://dbpedia.org/resource/Almost_Friends_(2014_film)>,3,0,0,0,3
<http://dbpedia.org/resource/Alone_in_Berlin_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/Alone_in_the_Dark_(2005_film)>,1,0,0,0,1
<http://dbpedia.org/resource/Along_Came_Polly>,10,2,0,2,14
<http://dbpedia.org/resource/Along_Came_a_Spider_(film)>,17,1,0,1,19
<http://dbpedia.org/resource/Alvin_and_the_Chipmunks_(film)>,2,0,2,0,4
<http://dbpedia.org/resource/Always_(1989_film)>,2,0,0,0,2
<http://dbpedia.org/resource/Amadeus_(film)>,9,2,0,0,11
<http://dbpedia.org/resource/Amanda_Knox:_Murder_on_Trial_in_Italy>,6,0,1,1,8
<http://dbpedia.org/resource/Amazon_Women_on_the_Moon>,1,0,0,0,1
<http://dbpedia.org/resource/Amelia_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/America's_Sweethearts>,2,0,0,0,2
<http://dbpedia.org/resource/American_Assassin>,4,0,0,0,4
<http://dbpedia.org/resource/American_Beauty_(1999_film)>,38,4,2,0,44
<http://dbpedia.org/resource/American_Gangster_(film)>,16,5,1,0,22
<http://dbpedia.org/resource/American_Gigolo>,0,0,0,1,1
<http://dbpedia.org/resource/American_Graffiti>,3,0,0,1,4
<http://dbpedia.org/resource/American_History_X>,11,0,0,0,11
<http://dbpedia.org/resource/American_Hustle>,16,4,0,1,21
<http://dbpedia.org/resource/American_Made_(film)>,37,0,1,3,41
<http://dbpedia.org/resource/American_Me>,2,0,0,0,2
<http://dbpedia.org/resource/American_Ninja>,4,1,0,0,5
<http://dbpedia.org/resource/American_Ninja_2:_The_Confrontation>,1,0,0,0,1
<http://dbpedia.org/resource/American_Outlaws>,0,1,0,0,1
<http://dbpedia.org/resource/American_Pie_(film)>,59,28,0,5,92
<http://dbpedia.org/resource/American_Pie_2>,8,7,0,0,15
<http://dbpedia.org/resource/American_Pie_Presents:_Band_Camp>,1,0,0,0,1
<http://dbpedia.org/resource/American_Psycho_(film)>,25,4,0,3,32
<http://dbpedia.org/resource/American_Psycho_2>,0,1,0,0,1
<http://dbpedia.org/resource/American_Sniper>,43,5,6,5,59
<http://dbpedia.org/resource/American_Ultra>,1,0,0,0,1
<http://dbpedia.org/resource/American_Wedding>,5,0,0,1,6
<http://dbpedia.org/resource/American_Zombie>,1,0,0,0,1
<http://dbpedia.org/resource/Amistad_(film)>,3,1,0,0,4
<http://dbpedia.org/resource/Amityville:_The_Awakening>,2,0,0,0,2
<http://dbpedia.org/resource/Amityville_Death_House>,0,1,0,0,1
<http://dbpedia.org/resource/Amores_perros>,2,0,0,0,2
<http://dbpedia.org/resource/Amusement_(film)>,2,0,0,0,2
<http://dbpedia.org/resource/Amy_(2015_film)>,1,0,0,0,1
<http://dbpedia.org/resource/Amélie>,26,1,3,1,31
<http://dbpedia.org/resource/An_Affair>,0,1,0,0,1
<http://dbpedia.org/resource/An_Affair_to_Remember>,3,0,0,0,3
<http://dbpedia.org/resource/An_American_Haunting>,1,0,0,0,1
<http://dbpedia.org/resource/An_American_Tail:_Fievel_Goes_West>,1,1,0,0,2
<http://dbpedia.org/resource/An_American_Tail>,4,0,0,0,4
<http://dbpedia.org/resource/An_American_Werewolf_in_London>,7,0,0,1,8
<http://dbpedia.org/resource/An_American_Werewolf_in_Paris>,1,2,0,0,3
<http://dbpedia.org/resource/An_Extremely_Goofy_Movie>,1,0,0,0,1
<http://dbpedia.org/resource/An_Inconvenient_Truth>,5,0,0,0,5
<http://dbpedia.org/resource/An_Officer_and_a_Gentleman>,5,5,0,1,11
<http://dbpedia.org/resource/An_Unfinished_Life>,1,0,0,0,1
<http://dbpedia.org/resource/Anabelle_Acosta>,1,0,0,0,1
<http://dbpedia.org/resource/Anaconda_(film)>,7,0,0,0,7
<http://dbpedia.org/resource/Analyze_This>,3,1,0,0,4
<http://dbpedia.org/resource/Anastasia_(1997_film)>,8,0,0,0,8
<http://dbpedia.org/resource/Anatomy_of_a_Murder>,2,0,0,0,2
<http://dbpedia.org/resource/Anchorman:_The_Legend_of_Ron_Burgundy>,51,9,4,6,70
<http://dbpedia.org/resource/Anchorman_(film_series)>,98,12,2,10,122
<http://dbpedia.org/resource/Anchorman_2:_The_Legend_Continues>,26,1,0,5,32
<http://dbpedia.org/resource/And_So_It_Goes_(film)>,2,0,0,0,2
<http://dbpedia.org/resource/And_Then_There_Were_None_(1974_film)>,0,0,0,1,1
<http://dbpedia.org/resource/Andre_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/Angel_Heart>,1,0,0,0,1
<http://dbpedia.org/resource/Angels_&_Demons_(film)>,3,1,0,0,4
<http://dbpedia.org/resource/Angels_in_the_Outfield_(1994_film)>,3,0,0,0,3
<http://dbpedia.org/resource/Angels_with_Dirty_Faces>,1,0,0,0,1
<http://dbpedia.org/resource/Anger_Management_(film)>,10,2,0,0,12
<http://dbpedia.org/resource/Animal_Crackers_(1930_film)>,1,0,0,0,1
<http://dbpedia.org/resource/Animal_Crackers_(2017_film)>,0,0,0,1,1
<http://dbpedia.org/resource/Animal_House>,31,3,6,4,44
<http://dbpedia.org/resource/Anna_Karenina_(2012_film)>,1,0,0,0,1
<http://dbpedia.org/resource/Anna_and_the_King>,2,0,0,0,2
<http://dbpedia.org/resource/Anna_in_Kungfuland>,1,0,0,0,1
<http://dbpedia.org/resource/Annabelle's_Affairs>,1,0,0,0,1
<http://dbpedia.org/resource/Annabelle:_Creation>,27,0,0,2,29
<http://dbpedia.org/resource/Annabelle_(film)>,101,11,4,7,123
<http://dbpedia.org/resource/Anne_of_Green_Gables_(1985_film)>,1,0,0,0,1
<http://dbpedia.org/resource/Anneliese:_The_Exorcist_Tapes>,1,0,0,0,1
<http://dbpedia.org/resource/Annie_(1976_film)>,4,0,0,0,4
<http://dbpedia.org/resource/Annie_(1982_film)>,9,4,0,0,13
<http://dbpedia.org/resource/Annie_(1999_film)>,2,0,0,0,2
<http://dbpedia.org/resource/Annie_(2014_film)>,5,2,0,0,7
<http://dbpedia.org/resource/Annie_Get_Your_Gun_(film)>,1,1,0,0,2
<http://dbpedia.org/resource/Annie_Hall>,13,5,0,1,19
<http://dbpedia.org/resource/Annihilation_(film)>,37,2,2,8,49
<http://dbpedia.org/resource/Anomalisa>,2,0,0,0,2
<http://dbpedia.org/resource/Anonymous_(2011_film)>,0,1,0,0,1
<http://dbpedia.org/resource/Another_48_Hrs.>,2,0,0,0,2
<http://dbpedia.org/resource/Another_Cinderella_Story>,2,0,0,0,2
<http://dbpedia.org/resource/Ant-Man_(film)>,44,18,0,0,62
<http://dbpedia.org/resource/Ant-Man_and_the_Wasp>,2,19,0,0,21
<http://dbpedia.org/resource/Anth>,4,0,0,1,5
<http://dbpedia.org/resource/Antichrist_(film)>,0,1,0,0,1
<http://dbpedia.org/resource/Antz>,9,2,0,0,11
<http://dbpedia.org/resource/Any_Given_Sunday>,4,0,0,0,4
<http://dbpedia.org/resource/Anything_Else>,0,2,0,0,2
<http://dbpedia.org/resource/Anything_Goes_(1956_film)>,0,1,0,0,1
<http://dbpedia.org/resource/Anywhere_but_Here_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/Apartment_143>,1,0,0,0,1
<http://dbpedia.org/resource/Apocalypse_Now>,20,6,3,0,29
<http://dbpedia.org/resource/Apocalypto>,5,1,0,0,6
<http://dbpedia.org/resource/Apollo_13_(film)>,26,1,5,0,32
<http://dbpedia.org/resource/Apollo_18_(film)>,4,0,0,0,4
<http://dbpedia.org/resource/Appaloosa_(film)>,1,0,0,0,1
<http://dbpedia.org/resource/Appleseed_(manga)>,3,0,0,0,3
<http://dbpedia.org/resource/Appleseed_Ex_Machina>,1,0,0,0,1
<http://dbpedia.org/resource/Aquaman_(film)>,1,1,0,0,2
<http://dbpedia.org/resource/Arachnophobia_(film)>,3,0,0,0,3
<http://dbpedia.org/resource/Archie:_To_Riverdale_and_Back_Again>,2,0,0,0,2
<http://dbpedia.org/resource/Are_We_Done_Yet%3F>,1,0,0,0,1
